    zipcode,
    64148,245.2
    67118,Ambiguous
    40813,
    18229,231.48
    51012,252.76
    79168,243.68
    54923,Ambiguous
    67651,Ambiguous
    49448,Ambiguous
    27702,283.08
    47387,Ambiguous
    50014,Ambiguous
    33608,268.49
    06239,
    54919,243.77
    46706,Ambiguous
    14846,Ambiguous
    48872,Ambiguous
    43343,Ambiguous
    77052,243.72
    07734,999
    95327,
    12961,
    26716,Ambiguous
    48435,Ambiguous
    53181,306.56
    52654,Ambiguous
    58703,297.93
    91945,
    52146,254.56
    56097,Ambiguous
    21777,
    42330,
    38849,Ambiguous
    77586,243.72
    39745,Ambiguous
    03299,240.45
    63359,Ambiguous
    60094,209.95
    15935,184.97
    39845,Ambiguous
    48418,Ambiguous
    28411,Ambiguous
    37333,219.29
    75939,Ambiguous
    07184,999
    86313,292.9
    61232,222.38
    20047,
    47452,Ambiguous
    31551,Ambiguous
